Consumption,ExecutingUnit,Population,Remarks,CPP,Year
"36685788","宜蘭縣","421328","無","238","2008-12-31"
"26601593","花蓮縣","283503","無","256","2008-12-31"
"3490616","金門縣","78483","無","122","2008-12-31"
"35058683","南投縣","420931.5","無","228","2008-12-31"
"33441013","屏東縣","393898.5","無","232","2008-12-31"
"35563738","苗栗縣","421768.5","無","230","2008-12-31"
"182354357","桃園縣","1851982","無","269","2008-12-31"
"161042821","高雄市","1508641.5","無","292","2008-12-31"
"101768752","高雄縣","1120861.5","無","248","2008-12-31"
"41126213","基隆市","387165.5","無","290","2008-12-31"
"544453","連江縣","9685.5","無","154","2008-12-31"
"56997367","雲林縣","677470","無","230","2008-12-31"
"44135789","新竹市","396251.5","無","304","2008-12-31"
"31555415","新竹縣","391110.5","無","220","2008-12-31"
"27317396","嘉義市","272398","無","274","2008-12-31"
"39014690","嘉義縣","489415","無","218","2008-12-31"
"86689301","彰化縣","1212599","無","195","2008-12-31"
"126588161","臺中市","1052510.5","無","329","2008-12-31"
"115634161","臺中縣","1353992","無","233","2008-12-31"
"328976296","臺北市","2615855.5","無","344","2008-12-31"
"397632415","臺北縣","3710122","無","293","2008-12-31"
"15263899","臺東縣","181877","無","229","2008-12-31"
"75873055","臺南市","765607","無","271","2008-12-31"
"106309085","臺南縣","1082125","無","268","2008-12-31"
"7091055","澎湖縣","86410.5","無","224","2008-12-31"
"37019663","宜蘭縣","423697.5","無","239","2009-12-31"
"26456977","花蓮縣","283013.5","無","256","2009-12-31"
"3606434","金門縣","84269.5","無","117","2009-12-31"
"35219513","南投縣","418052.5","無","231","2009-12-31"
"33607009","屏東縣","398165.5","無","231","2009-12-31"
"35987503","苗栗縣","422937","無","233","2009-12-31"
"180817539","桃園縣","1868101","無","265","2009-12-31"
"157298481","高雄市","1512547","無","285","2009-12-31"
"100420320","高雄縣","1121715","無","245","2009-12-31"
"40237471","基隆市","386067.5","無","286","2009-12-31"
"591529","連江縣","9711","無","167","2009-12-31"
"57499535","雲林縣","676840","無","233","2009-12-31"
"44512662","新竹市","403707.5","無","302","2009-12-31"
"32169996","新竹縣","400759.5","無","220","2009-12-31"
"27301633","嘉義市","272940","無","274","2009-12-31"
"39358706","嘉義縣","487711.5","無","221","2009-12-31"
"87190713","彰化縣","1211814.5","無","197","2009-12-31"
"123177303","臺中市","1061745.5","無","318","2009-12-31"
"114528244","臺中縣","1360693","無","231","2009-12-31"
"328552575","臺北市","2605233.5","無","346","2009-12-31"
"395393369","臺北縣","3748444","無","289","2009-12-31"
"15671833","臺東縣","182002.5","無","236","2009-12-31"
"74668626","臺南市","768802.5","無","266","2009-12-31"
"102743669","臺南縣","1082137.5","無","260","2009-12-31"
"7218044","澎湖縣","88221","無","224","2009-12-31"
"38177956","宜蘭縣","426145","無","245","2010-12-31"
"26712892","花蓮縣","282440","無","259","2010-12-31"
"3773665","金門縣","90309","無","114","2010-12-31"
"35377641","南投縣","414872","無","234","2010-12-31"
"34128089","屏東縣","394661","無","237","2010-12-31"
"36309889","苗栗縣","425143","無","234","2010-12-31"
"180888808","桃園縣","1884527","無","263","2010-12-31"
"156933784","高雄市","1515034","無","284","2010-12-31"
"101503170","高雄縣","1123342","無","248","2010-12-31"
"40121148","基隆市","383575","無","287","2010-12-31"
"603286","連江縣","9791","無","169","2010-12-31"
"58186317","雲林縣","674438","無","236","2010-12-31"
"45220279","新竹市","408666","無","303","2010-12-31"
"33208576","新竹縣","407173","無","223","2010-12-31"
"27723871","嘉義市","272290","無","279","2010-12-31"
"39185626","嘉義縣","485507","無","221","2010-12-31"
"88169821","彰化縣","1209443","無","200","2010-12-31"
"122295380","臺中市","1070190","無","313","2010-12-31"
"115177463","臺中縣","1365462","無","231","2010-12-31"
"327568253","臺北市","2604050","無","345","2010-12-31"
"401007667","臺北縣","3781163","無","291","2010-12-31"
"15813210","臺東縣","181807","無","238","2010-12-31"
"74247254","臺南市","770710","無","264","2010-12-31"
"102893984","臺南縣","1081622","無","261","2010-12-31"
"7371555","澎湖縣","89933","無","225","2010-12-31"
"38503863","宜蘭縣","427481","無","247","2011-12-31"
"26940917","花蓮縣","281874","無","262","2011-12-31"
"4008354","金門縣","95069","無","116","2011-12-31"
"35478438","南投縣","411009","無","236","2011-12-31"
"33920744","屏東縣","391442","無","237","2011-12-31"
"37557187","苗栗縣","429831","無","239","2011-12-31"
"181107074","桃園縣","1902497","無","261","2011-12-31"
"256504055","高雄市","2642651","無","266","2011-12-31"
"39641069","基隆市","379452","無","286","2011-12-31"
"648536","連江縣","9877","無","180","2011-12-31"
"57572482","雲林縣","670511","無","235","2011-12-31"
"403607367","新北市","3804157","無","291","2011-12-31"
"45788329","新竹市","412884","無","304","2011-12-31"
"34619638","新竹縣","412580","無","230","2011-12-31"
"27376782","嘉義市","271192","無","277","2011-12-31"
"38581737","嘉義縣","481756","無","219","2011-12-31"
"87293645","彰化縣","1205742","無","198","2011-12-31"
"238742648","臺中市","2458037","無","266","2011-12-31"
"325748244","臺北市","2626712","無","340","2011-12-31"
"15759997","臺東縣","180761","無","239","2011-12-31"
"175072691","臺南市","1854034","無","259","2011-12-31"
